Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
World,º World,1971,EFConsPerCap,0.0348224096502526,1.4530963783342,0.523339371364637,0.106445573629758,0.408279438982972,0.23333848380405142,2.7593209867714297,3A,null
World,º World,1972,BiocapPerCap,0.0339413919219108,0,0.499462050741955,0.287062276421741,1.40408764326545,0.385382596380197,2.60993595873125,3A,null
World,º World,1972,EFConsPerCap,0.0339413919219108,1.49765315088649,0.499462050741955,0.109220717035991,0.400553542342006,0.23554854531916797,2.7763825317811337,3A,null
World,º World,1973,BiocapPerCap,0.0356866784091651,0,0.517685318232589,0.279783917086296,1.3769379868259,0.377212189429758,2.5873060899837,3A,null
World,º World,1973,EFConsPerCap,0.0356866784091651,1.56834564817966,0.517685318232589,0.110455592124472,0.40624092456595,0.22877061794242565,2.867185619170396,3A,null
World,º World,1974,BiocapPerCap,0.034872543763124,0,0.496320532809598,0.27542089282615,1.34697638532093,0.372352206493682,2.52594256121349,3A,null
World,º World,1974,EFConsPerCap,0.034872543763124,1.51432688186028,0.496320532809598,0.111453480550049,0.398386572775848,0.23082666216314085,2.7861877909291164,3A,null
World,º World,1975,BiocapPerCap,0.0350192348122442,0,0.489043288392666,0.2701775651653,1.3204197381583,0.365963450686769,2.48062327721528,3A,null
World,º World,1975,EFConsPerCap,0.0350192348122442,1.46928576286778,0.489043288392666,0.103972708768295,0.38182513048258,0.23679203228873139,2.7159398289793053,3A,null
World,º World,1976,BiocapPerCap,0.0366888697403295,0,0.504091037401822,0.264953006062794,1.29240025329096,0.358510755239826,2.45664392173573,3A,null
World,º World,1976,EFConsPerCap,0.0366888697403295,1.53536687702607,0.504091037401822,0.104413849066082,0.390183163286771,0.23067939921864616,2.8014247427822636,3A,null
World,º World,1977,BiocapPerCap,0.0367034046387748,0,0.49441426905861,0.261442311611238,1.26723882425112,0.354020867614011,2.41381967717375,3A,null
World,º World,1977,EFConsPerCap,0.0367034046387748,1.56079640230469,0.49441426905861,0.0992950731512523,0.385556582905409,0.22828362589836804,2.8050484440378725,3A,null
World,º World,1978,BiocapPerCap,0.0392469817015883,0,0.521476451446399,0.257258790525863,1.24126906462629,0.348227849798961,2.4074791380991,3A,null
World,º World,1978,EFConsPerCap,0.0392469817015883,1.56440671127953,0.521476451446398,0.0973766134868625,0.386426709501704,0.2238276430535739,2.8327629288049034,3A,null
World,º World,1979,BiocapPerCap,0.0386422826566446,0,0.505760322848556,0.253232554894701,1.21722853113232,0.34356084944594,2.35842454097816,3A,null
World,º World,1979,EFConsPerCap,0.0386422826566446,1.59947898886352,0.505760322848556,0.096147601130479,0.388334713931979,0.22527547309191093,2.8536417825343254,3A,null
World,º World,1980,BiocapPerCap,0.0381006853907813,0,0.490554284215978,0.248799335101149,1.2015966323645,0.338635437807808,2.31768637488022,3A,null
World,º World,1980,EFConsPerCap,0.0381006853907813,1.52491437630912,0.490554284215978,0.0959903295418714,0.379647130785591,0.22440632938382482,2.7536122846940043,3A,null
World,º World,1981,BiocapPerCap,0.0396499516943133,0,0.500836696556563,0.244912322026031,1.17968201460895,0.333726733845885,2.29880771873175,3A,null
World,º World,1981,EFConsPerCap,0.0396499516943133,1.44253871784737,0.500836696556563,0.0965469968947677,0.369592357603708,0.22198459297858444,2.6711514724539676,3A,null
World,º World,1982,BiocapPerCap,0.0414372436473958,0,0.519197485785616,0.239315110808852,1.15568040395574,0.326584759991458,2.28221500418906,3A,null
